Class Number, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
6421,ISM 4011 - 0008   Management Information Systems,0008-LEC Conversion,Staff,30,0,30,0,0
6419,ISM 4011 - 0009   Management Information Systems,0009-LEC Conversion,Staff,25,0,25,0,0
6422,ISM 4011 - 0010   Management Information Systems,0010-LEC 1st Mon Sp,Staff,30,16,14,0,0
6415,ISM 4011 - 0011   Management Information Systems,0011-LEC Main Sess,Staff,25,10,15,0,0
6416,ISM 4011 - 0012   Management Information Systems,0012-LEC Main Sess,Staff,21,15,6,0,0
6418,ISM 4011 - 0013   Management Information Systems,0013-LEC Eight Wk 2,Staff,30,27,3,0,0
6417,ISM 4011 - 0014   Management Information Systems,0014-LEC Eight Wk 1,Staff,30,0,30,0,0
11331,FES 4003 - 0001   Public Policy In Emergency Management,0001-LEC Conversion,Staff,30,7,23,0,0
17268,NUR 3997 - 0001   Validated Nursing Course,0001-LEC Main Sess,Staff,40,25,15,0,0
6081,DIG 3940 - 0001   Upper Division Internship,0001-OTH Main Sess,Staff,25,1,24,0,0
6082,DIG 3940 - 0002   Upper Division Internship,0002-OTH Twelve Wk,Staff,25,0,25,0,0
7535,BSC 3930 - 0001   Biological Sciences Seminar,0001-LEC Main Sess,Staff,24,14,10,0,0
9680,MAN 3894 - 0001   Applied Case Studies In Management,0001-LEC Eight Wk 2,Staff,20,11,9,0,0
17253,MAN 3894 - 0002   Applied Case Studies In Management,0002-LEC Twelve Wk,Staff,30,0,30,0,0
9683,MAN 3894 - 0004   Applied Case Studies In Management,0004-LEC Conversion,Staff,30,17,13,0,0
9671,MAN 3894 - 0005   Applied Case Studies In Management,0005-LEC Main Sess,Staff,40,0,40,0,0
9672,MAN 3894 - 0006   Applied Case Studies In Management,0006-LEC Main Sess,Staff,45,0,45,0,0
17254,MAN 3894 - 0007   Applied Case Studies In Management,0007-LEC Twelve Wk,Staff,30,0,30,0,0
9684,MAN 3894 - 0008   Applied Case Studies In Management,0008-LEC Weekend,Staff,30,0,30,0,0
9682,MAN 3894 - 0009   Applied Case Studies In Management,0009-LEC Eight Wk 2,Staff,36,0,36,0,0
9673,MAN 3894 - 0010   Applied Case Studies In Management,0010-LEC Main Sess,Staff,30,15,15,0,0
9679,MAN 3894 - 0011   Applied Case Studies In Management,0011-LEC Eight Wk 2,Staff,30,11,19,0,0
9674,MAN 3894 - 0012   Applied Case Studies In Management,0012-LEC Main Sess,Staff,30,0,30,0,0
9675,MAN 3894 - 0013   Applied Case Studies In Management,0013-LEC Main Sess,Staff,25,20,5,0,0
9676,MAN 3894 - 0014   Applied Case Studies In Management,0014-LEC Main Sess,Staff,21,17,4,0,0
9677,MAN 3894 - 0015   Applied Case Studies In Management,0015-LEC Eight Wk 1,Staff,30,21,9,0,0
9678,MAN 3894 - 0016   Applied Case Studies In Management,0016-LEC Eight Wk 2,Staff,30,10,20,0,0
10502,NUR 3846 - 0002   Foundations Of Professional Nursing,0002-LEC Main Sess,Staff,30,27,3,0,0
10504,NUR 3846 - 0003   Foundations Of Professional Nursing,0003-LEC Conversion,Staff,40,0,40,0,0
10510,NUR 3846 - 0004   Foundations Of Professional Nursing,0004-LEC Conversion,Staff,40,8,32,0,0
10509,NUR 3846 - 0005   Foundations Of Professional Nursing,0005-LEC Conversion,Staff,40,27,13,0,0
10506,NUR 3846 - 0006   Foundations Of Professional Nursing,0006-LEC Conversion,Staff,40,20,20,0,0
10508,NUR 3846 - 0008   Foundations Of Professional Nursing,0008-LEC Conversion,Staff,40,0,40,0,0
10505,NUR 3846 - 0009   Foundations Of Professional Nursing,0009-LEC Conversion,Staff,30,0,30,0,0
10503,NUR 3846 - 0010   Foundations Of Professional Nursing,0010-LEC Conversion,Staff,30,12,18,0,0
12321,NUR 3826 - 0001   Ethical Issues In Health Care And The Environment,0001-LEC Conversion,Staff,30,0,30,0,0
14896,NUR 3805 - 0002   Transition To Professional Nursing,0002-LEC Main Sess,Staff,30,28,2,0,0
14905,NUR 3805 - 0003   Transition To Professional Nursing,0003-LEC Conversion,Staff,40,6,34,0,0
14904,NUR 3805 - 0004   Transition To Professional Nursing,0004-LEC Conversion,Staff,30,5,25,0,0
14900,NUR 3805 - 0005   Transition To Professional Nursing,0005-LEC Conversion,Staff,30,0,30,0,0
14898,NUR 3805 - 0006   Transition To Professional Nursing,0006-LEC Conversion,Staff,40,20,20,0,0
14906,NUR 3805 - 0008   Transition To Professional Nursing,0008-LEC Conversion,Staff,30,21,9,0,0
14899,NUR 3805 - 0009   Transition To Professional Nursing,0009-LEC Conversion,Staff,40,0,40,0,0
14901,NUR 3805 - 0010   Transition To Professional Nursing,0010-LEC Conversion,Staff,20,5,15,0,0
