Class Number, Campus, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
10289,InterAmerican Campus,EEC 2523 - 0002   Programming & Management For Early Childhood Administrators,0002-LEC Conversion,Staff,25,19,6,0,0
6845,North Campus,FFP 2521 - 0001   Blueprint Readings And Plans Review,0001-LEC Conversion,Staff,24,18,6,0,0
14499,Hialeah Campus,EEC 2520 - 0001   Early Childhood Organization Leadership And Management,0001-LEC Twelve Wk,Staff,25,0,25,0,0
15330,North Campus,MAR 2520 - 0001   Hispanic Marketing Communications,0001-LEC Main Sess,Staff,30,0,30,0,0
11635,Wolfson Campus,NUR 2520 - 0001   Psychiatric Nursing,0001-LEC Conversion,Staff,30,21,9,0,0
11639,Medical Campus,NUR 2520 - 0002   Psychiatric Nursing,0002-LEC Conversion,Staff,35,25,10,0,0
11636,Medical Campus,NUR 2520 - 0003   Psychiatric Nursing,0003-LEC Conversion,Staff,40,30,10,0,0
11640,Medical Campus,NUR 2520 - 0004   Psychiatric Nursing,0004-LEC Conversion,Staff,35,31,4,0,0
11641,Medical Campus,NUR 2520 - 0005   Psychiatric Nursing,0005-LEC Conversion,Staff,50,14,36,0,0
16803,Medical Campus,NUR 2520L - 0001   Psychiatric Nursing Clinical Lab,0001-CLN Conversion,Staff,8,0,8,0,0
16820,Medical Campus,NUR 2520L - 0002   Psychiatric Nursing Clinical Lab,0002-CLN Conversion,Staff,8,7,1,0,0
16830,Medical Campus,NUR 2520L - 0004   Psychiatric Nursing Clinical Lab,0004-CLN Conversion,Staff,8,7,1,0,0
16831,Medical Campus,NUR 2520L - 0005   Psychiatric Nursing Clinical Lab,0005-CLN Conversion,Staff,8,6,2,0,0
16804,Medical Campus,NUR 2520L - 0006   Psychiatric Nursing Clinical Lab,0006-CLN Conversion,Staff,8,6,2,0,0
16805,Medical Campus,NUR 2520L - 0007   Psychiatric Nursing Clinical Lab,0007-CLN Conversion,Staff,8,0,8,0,0
16818,Medical Campus,NUR 2520L - 0010   Psychiatric Nursing Clinical Lab,0010-CLN Conversion,Staff,8,0,8,0,0
16806,Medical Campus,NUR 2520L - 0014   Psychiatric Nursing Clinical Lab,0014-CLN Conversion,Staff,6,0,6,0,0
16823,Medical Campus,NUR 2520L - 0015   Psychiatric Nursing Clinical Lab,0015-CLN Conversion,Staff,8,0,8,0,0
16807,Medical Campus,NUR 2520L - 0017   Psychiatric Nursing Clinical Lab,0017-CLN Conversion,Staff,8,0,8,0,0
16826,Medical Campus,NUR 2520L - 0022   Psychiatric Nursing Clinical Lab,0022-CLN Conversion,Staff,8,7,1,0,0
16824,Medical Campus,NUR 2520L - 0023   Psychiatric Nursing Clinical Lab,0023-CLN Conversion,Staff,8,0,8,0,0
