Class Number, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total11994,BSC 7982 - U01   Dissertation Defense Seminar,U01-G Regular,Jennifer Richards,10,4,6,0,0
36120,URS 7926 - U10   Supervised Readings,U10-O Regular,Mohamad Alkadry,5,1,4,0,0
10149,ECO 7925 - U01   Advanced Workshop,U01-O Regular,Mihaela Pintea,25,6,19,0,0
10183,ECO 7925 - U02   Advanced Workshop,U02-O Regular,Mihaela Pintea,14,4,10,0,0
16752,SOW 7916 - U01   Supervised Research,U01-R Regular,Eric Wagner,3,2,1,0,0
16755,SOW 7916 - U02   Supervised Research,U02-R Regular,Miriam Potocky,15,2,13,0,0
16766,SOW 7916 - U03   Supervised Research,U03-R Regular,Richard Beaulaurier,3,1,2,0,0
35112,SOW 7916 - U04   Supervised Research,U04-R Regular,Shanna Burke,5,1,4,0,0
16846,SOW 7916 - U05   Supervised Research,U05-R Regular,Mark Macgowan,5,1,4,0,0
16876,SOW 7916 - U06   Supervised Research,U06-R Regular,Mario De La Rosa,3,1,2,0,0
16890,SOW 7916 - U07   Supervised Research,U07-R Regular,Nicole Ruggiano,5,0,5,0,0
16921,SOW 7916 - U08   Supervised Research,U08-R Regular,Miriam Potocky,5,1,4,0,0
16922,SOW 7916 - U09   Supervised Research,U09-R Regular,Barbara Thomlison,5,0,5,0,0
16924,SOW 7916 - U10   Supervised Research,U10-R Regular,Paul Stuart,3,0,3,0,0
16926,SOW 7916 - U11   Supervised Research,U11-R Regular,Hui Huang,3,0,3,0,0
16925,SOW 7916 - U17   Supervised Research,U17-R Regular,Stephen Wong,3,1,2,0,0
13147,CHM 7910 - U01   Dissertation Research,U01-R Regular,Jose Almirall,10,2,8,0,0
33254,CHM 7910 - U02   Dissertation Research,U02-R Regular,David Becker,5,0,5,0,0
33255,CHM 7910 - U03   Dissertation Research,U03-R Regular,John Berry,5,0,5,0,0
13148,CHM 7910 - U04   Dissertation Research,U04-R Regular,Yong Cai,10,1,9,0,0
33256,CHM 7910 - U05   Dissertation Research,U05-R Regular,David Chatfield,5,0,5,0,0
13149,CHM 7910 - U06   Dissertation Research,U06-R Regular,Anthony De Caprio,10,1,9,0,0
13150,CHM 7910 - U07   Dissertation Research,U07-R Regular,Kenneth Furton,10,2,8,0,0
13151,CHM 7910 - U08   Dissertation Research,U08-R Regular,Piero Gardinali,10,1,9,0,0
13338,CHM 7910 - U09   Dissertation Research,U09-R Regular,Rudolf Jaffe,10,0,10,0,0
33257,CHM 7910 - U10   Dissertation Research,U10-R Regular,Jeffrey Joens,5,0,5,0,0
13334,CHM 7910 - U11   Dissertation Research,U11-R Regular,Konstantinos Kavallieratos,10,3,7,0,0
33258,CHM 7910 - U12   Dissertation Research,U12-R Regular,John Landrum,5,0,5,0,0
33259,CHM 7910 - U13   Dissertation Research,U13-R Regular,Fenfei Leng,5,2,3,0,0
13335,CHM 7910 - U14   Dissertation Research,U14-R Regular,Watson Lees,10,1,9,0,0
13152,CHM 7910 - U15   Dissertation Research,U15-R Regular,Yuan Liu,10,2,8,0,0
